nsamples,sample%,tottime (s),cumul%,cumtime (s),filename:lineno(function)
21631/21641,27.8,21.631,27.8,21.641,bpe_v1.py:273(BPETokenizerV1._count_pairs)
13077/13078,16.8,13.077,16.8,13.078,bpe_v1.py:272(BPETokenizerV1._count_pairs)
7519/7519,9.7,7.519,9.7,7.519,bpe_v1.py:298(BPETokenizerV1._merge_pair)
5251/5251,6.8,5.251,6.8,5.251,bpe_v1.py:302(BPETokenizerV1._merge_pair)
5220/5220,6.7,5.22,6.7,5.22,bpe_v1.py:305(BPETokenizerV1._merge_pair)
4426/26817,5.7,4.426,34.5,26.817,bpe_v1.py:167(BPETokenizerV1.train)
3088/3088,4.0,3.088,4.0,3.088,bpe_v1.py:271(BPETokenizerV1._count_pairs)
2606/2606,3.4,2.606,3.4,2.606,bpe_v1.py:166(BPETokenizerV1.train)
2292/2292,2.9,2.292,2.9,2.292,bpe_v1.py:297(BPETokenizerV1._merge_pair)
2205/39767,2.8,2.205,51.1,39.767,bpe_v1.py:156(BPETokenizerV1.train)
1586/2773,2.0,1.586,3.6,2.773,bpe_v1.py:286(BPETokenizerV1._select_best_pair)
1411/1411,1.8,1.411,1.8,1.411,ssl.py:1156(SSLSocket.read)
1187/1187,1.5,1.187,1.5,1.187,bpe_v1.py:286(BPETokenizerV1._select_best_pair.<locals>.<genexpr>)
1054/1054,1.4,1.054,1.4,1.054,bpe_v1.py:303(BPETokenizerV1._merge_pair)
970/970,1.2,0.97,1.2,0.97,<frozen importlib._bootstrap_external>:922(FileLoader.get_data)
